location,sentence 1,sentence 2,sentence 3,sentence 4,sentence 5
Bohemia,"""Bohemia, Bohemia.""

1.","The Bohemian Empire was founded in 1689 by the French in a place called Prague, which in turn was founded in England by the English in 1710.","A total of 7,500 people, from a population of 20,000 to 400,000, were born in Bohemia during the 15th and 16th centuries.","The first inhabitants were German, Czech and Polish.",The first English settlers came to the Bohemian Peninsula at the end of the 17th century.
Bolivia,This is a story about the two countries.,This is Bolivia and the US.,"It is a country that has a very high unemployment rate, that has very high unemployment rates, and that is also a country that is not connected to any particular kind of economy.",There are a lot of people there.,There are a lot of jobs there.
Bologna,"The city's population is now over 10,000.","It has 4,000,000 people.","The city's residents are all refugees, most of them from North Africa.",It's about geography.,There are lots of places from which to grow food and drink.
Bolton,Bolton is the only one of the 12 candidates on the 2016 ballot who has at least 10 times the number of votes in the Republican primary.,The four major rivals for the GOP nomination have at least 10 times the number of votes in the general election.,Bolton has no more than two times as many votes as any of the other GOP candidates.,The four major rivals for the GOP nomination have at least two times as many votes as any of the other GOP candidates.,The only candidate in the top three categories for the Republican nomination who has at least 10 times the number of votes in the general election.
Bonn,You got to give her the money that you gave her.,"I mean, Bonn was the first person to get a $500,000 bonus.","So why didn't she get it?

Because she had no idea she had to pay.",And then she got caught.,She was completely unaware of what.
Boston,"Boston is a good city, but it is not a good city.",Boston is a good city and is not a good city.,"Boston is a good city because of the rich, but it is not a good city.","Boston is a good city because of the rich, but it is not a good city.","Boston is not a good city because of the rich, but it is not a good city."
Brazil,Brazil has no legal system.,"The country's constitution, the constitution of the Republic of Brazil, does not allow its citizens to vote.",The country does not have a system of government.,Brazil is a democracy.,Brazil's economy is one of the strongest in the world.
Bremen,A woman who wants to be a man should not be a woman.,"In this, you can answer the question by asking for your answers.","In short, it is a question about whether or not she likes to have hair, or about what she likes to wear.","In short, it is about whether or not she likes to have a body.","In short, it is about whether or not she likes to have a love for food."
Brooklyn,There are more homeless people in Brooklyn than in any other major city in the country.,In Brooklyn there are more homeless people than any other major city in the country.,The number of homeless people in Brooklyn is up 6 percent from the year before.,There are more homeless people than any other major city in the country.,Brooklyn has the highest rate of drug arrests in the country.
Bucharest,Bucharest was founded by a group of people of Russian descent who had been brought up as slaves on the mainland of Hungary.,The Hungarian government was forced to turn them over to the Soviets in 1953.,"""We had to fight in every battle,"" he writes, ""because our government had no sense of the power of the people.""

Bucharest's book also shows that at least one of the early members of the Hungarian government was a Hungarian Jew.","""Many Hungarians believed that they were 'the people of Europe.' ""

Chennai's famous Jewish community was a major force in the early years of the Soviet Union.","But after he arrived, he was given a letter, which he sent to the Soviet ambassador to France."
Bulgaria,The national language in Bulgaria is Bulgarian.,The country's main language is Bulgarian.,The Bulgarian national language is the Russian language.,"The Bulgarian national language has three distinct features:

- Bulgarian National Language is a word with a single consonant

- Bulgarian National Language is a word with a single vowel.","Bulgarian National Language is also a word with three distinct features:

- Bulgarian national language is a word with a single consonant or a single vowel."
Cairo,The city was founded on a single stone pyramid.,The ancient Egyptian word for pyramid is al-mabq.,The city was built by two different groups of individuals.,"The two groups of individuals were the Egyptians, who built the pyramid of the earth, and the Egyptians, who built the pyramid of the sun.",The city was built of bricks.
Calgary,"Cities on the map are dominated by the big cities, while the suburbs are dominated by the small towns.",The main exception is Calgary.,When you look at a city with a population of roughly 1.2 million people it's easy to see how much people prefer it to other cities.,"Even when you exclude the small towns, Calgary's numbers are the best.","In fact, one of the biggest reasons for that is that Calgary is a very rural town."
California,"California is not a ""State of the Union.""

2.","California is a ""State of Emergency.""

3.","California is a ""State of Emergency.""

California has the highest unemployment rate in the country.","It has the highest student debt, and the highest number of jobs.",It has the highest population.
Cambodia,"""Phnom Penh is a very beautiful country with very beautiful roads,"" according to the National Tourism Authority.","The country, which is home to the world's most popular fishing village, is home to nearly 2,000 small fishing boats.","The national Tourism Administration says the boat routes for this year's trip to Phnom Penh were:

7.","""Phnom Penh is a country that has the highest number of tourist spots in the world,"" according to the Tourism Administration.","The city is home to an estimated 3,000 Buddhist monks."
Cambridge,The word Cambridge was used in 1795 (the year it was coined) in reference to the work of Joseph Smith.,"The word is also used for the Church of England and, in some cases, of the United States.",The word Cambridge is also used in reference to the work of Martin Harris (1806-1864).,"The term Cambridge is the Latin word for ""a single person"" in reference to the Church of England.","In some instances it means ""a single individual who is, or was, in any sense of the word.""

Let's turn to the fact that Cambridge is now widely used by the Church in its name, and that it is in fact the Church's name."
Camden,"When the Camden police department moved to the south side of the city in the mid-1800s, the city was at least 30 miles west of the city center.","Camden is far from a middle-class, racially segregated, middle-class, or urban center.","As Camden has evolved, its police force has become more diverse.","The city has moved from a black man's street into a more African-American, white, working class neighborhood, and its police force has become more racially segregated, which has led to the rapid growth of the African-American community and a decline in the population of Camden.","In the early 1800s, in the face of a black population rising to more than 20,000, Camden was a center of black leadership."
Canada,The Canadian government has more funding for public-private partnerships than any other country.,"Canadians spend an average of $18,000 per year on federal, provincial, territorial and international public-private partnerships, compared with $43,000 per year for all other OECD countries.","The federal government spent $8,700 on public-private partnerships in 2011-12, compared to $12,000 per year in 2010-11, with $12,000 per year for all other OECD countries.","The federal government spent $20,000 per year on public-private partnerships in 2013-14, compared to $18,000 per year for all other OECD countries.","The federal government spent $1,000 per year on public-private partnerships in 2013-14, compared to $1,000 for all other OECD countries."
Canterbury,The Canterbury people were not born in the year 1800.,No one ever visited Canterbury.,The Canterbury people were not born in the year 1860.,No one ever visited Canterbury.,No one ever spoke to the Canterbury people.
Cebu,The cebu city is the only city that can have a city council that has not been formally established since the beginning of time.,The cebu city was founded by Chinese immigrants.,"The cebu cebu is the largest city in China, and the only city in the world where the Chinese population is larger than that of Hong Kong.","The cebu cebu is the only city in the world where the Chinese population is larger than that of Hong Kong, with more than 100 million people.",Cebu cebu is the only city in China where the Chinese population is larger than that of Hong Kong.
Chester,Chester was not the first person to commit a felony.,Chester was not the first person to commit a misdemeanor.,Chester was not the first person to commit a misdemeanor.,Chester was not the first person to commit a felony.,Chester was not the first person to commit a felony.
Chicago,The second point is the most important.,The third point is the most important.,The second point is the most important.,The third point is the most important.,The third point is the most important.
Chile,A man who was not a criminal but who was convicted of an offense committed with a pistol or revolver did not commit the offense.,And you can't get a new one.,"A conviction for a weapon offense carries a sentence of 25 years or more in prison, which is what you pay for your criminal record.","But if you commit a crime before a sentence of 25 years has been imposed, you're still eligible for a lighter sentence.","And as I pointed out earlier, the actual penalty for having a criminal record is much higher if you are convicted of a felony and you commit a serious crime."
Cincinnati,"In the NFL, the Bengals have the highest points per play average (WPA).",The Bengals are a team that has been playing like they are going to make a big leap.,The Bengals are a team that has been playing like they are going to make a big leap.,"In the NFL, the Bengals were ranked seventh in points per play (WPA), eighth in total offense (GDP), ninth in scoring defense (SOG), and seventh in passing (PPR).","In the NFL, the Bengals ranked 15th in scoring defense (GDP), 16th in offensive efficiency (YPA), and 21st in passing efficiency (YPA)."
Cleveland,"""The Browns won the regular season by just 8 points last year.""

""The Bears won the playoffs by just a few points last year.""

""The Dolphins won the regular season by a single point last year.""

And one more time, we'll just have to talk about that last one.",That's it.,"It was a nice surprise to me because I had been thinking about the next few seasons before that, and that was going to be the year the team signed a rookie quarterback.","I never knew what the contract would do for the Browns, but they decided to take a chance.","They gave up the first pick in the draft to get a second-round pick, and they gave up the second pick to get a third-round pick."
Colchester,"The Colchester River is located on the eastern side of the Delaware River, in the heart of the village, and near the Delaware River.",The Colchester River is a major source of income for the nearby county.,The Colchester River's main artery is located just south of the Delaware River.,The Colchester River is the largest river in the county.,Colchester is the site of the first U.S.
Cologne,The city will soon have a subway station and train station.,"The trains will be run from a bus station, and will run from the center of Cologne to the streets.","The trains will be run from a bus station, and will run from the center of Cologne to the streets.",The city will soon have a metro.,The city will have a subway system.
Colombia,"""Colombia is a small, rich country, but has a proud history of humanitarian, economic and cultural development, which is being enhanced by the strong efforts of its people.","It is a nation of people who have shared their values with others and who are making progress, for which they have a unique opportunity to live in a new, brighter and more prosperous future.""

1.",The country is not a state.,"The country is a ""nation of people.""

3.",Colombia is an independent nation with a democratic government and a democratic system of democracy.
Constantinople,that Constantinople is an important city and that Constantinople is situated in the region of the Holy City of Jerusalem.,"The first of these is that it is a Christian city, and the second that it is the home of God.","In the first place, the true Christian city is Constantinople (the Holy City of Jerusalem)

2.",The third is that it is the third city in the Holy Roman Empire (the Byzantine Empire) and is situated on the same side of the Syrian Sea as Constantinople.,The fourth is that it is the fifth city in the Roman Empire.
Copenhagen,There was no Copenhagen.,There was no Copenhagen.,No Copenhagen.,"It is based on a simple formula, and this is why it is important.","It is based on the idea that, in the absence of Copenhagen, Copenhagen cannot be the end of the world."
Dallas,There was not a single shot fired in Dallas that night.,"There were no homicides, no murders, and no homicides.","There was no homicides, no murders, and no murders.",The last two homicides were during the summer of 2004.,"Dallas's homicide rate had dropped significantly by the time the homicide occurred, but by this time the murder rate had been increased by 10% to 14%."
Denmark,The fact is that Denmark has a population of just over 2 billion people.,Denmark was formed by two separate peoples in 1821 and was the first nation in the world to have a constitution.,Denmark was founded on a Christian constitution.,The Danish government made the Danish Constitution the first of its kind.,Denmark was the first nation to have the government in parliament.
Denver,Denver has a winning percentage of.999 and a team record of 9-3 in those games.,The Denver offense has had five of the last six road losses and scored just 14 points in those.,The offense also has been sacked three times in six games.,The quarterback rating is.500 and the defense is second in the league with an overall grade of.865.,The Broncos have taken 14 of their last 15.
Derby,The Derby Derby in the UK is almost entirely an urban legend.,It took place at the beginning of the 20th century and never happened.,Derby's origins are the result of a very old and largely forgotten race in an area which had little to do with football.,It took place at the beginning of the 20th century and never happened.,Derby's origins are the result of a very old and largely forgotten race in an area which had little to do with football.
Detroit,"The Detroit Pistons have been better at this than any team in the league in recent years, but their record is still better than any team in the league in recent years.",Their record is better than any team in the league in recent years.,Their record is better than any team in the league in recent years.,Detroit has a lower percentage of turnovers than any team in the league in recent years.,Detroit has a lower percentage of threes than any team in the league in recent years.
Dresden,Dresden is a war zone of the Third Reich.,The Dresden people were very different to many of their neighbors in other countries.,"The Dresden people were very strong, even in the last few years of the Nazi regime.","Many of them were not even a part of the Nazi Party, but were part of the local ""Dresdeners"", the members of which held a number of important positions in the political world.","The ""Dresdeners"" were highly educated and were very important members of the local German military."
Dubai,The UAE has an annual budget of less than $100 billion.,Dubai has a GDP of $1.3 trillion.,Dubai's economy grew from $1.3 trillion in 2011 to $4.7 trillion in 2015.,"Dubai has a per capita GDP of $9,722.","Dubai's GDP has grown from $12,939 in 2010 to $13,834 in 2015."
Dublin,"There are no permanent inhabitants of Dublin, they are scattered throughout the country, many are born in Ireland, and there are many other ethnic groups, but there are few people in Dublin.",They are scattered across the country.,"That makes the entire city, including the entire mainland of Ireland, home to over 400,000 people.","In fact, London and London's other major cities are home to the largest population of Irish people, and the largest population of other ethnicities.","On the one hand, this is a very big city, and that's why people are so obsessed with it."
Edinburgh,The City of Edinburgh is a small but densely populated city.,It is home to two world-class golf courses – One of the best in Europe.,It is home to more than 1 million people.,It is home to the world's first ever 'Gulliver's Travels'.,It is home to the first ever 'World Championship'.
Egypt,A small group of Egyptians is holding their noses at the world's most powerful man.,He is the most powerful man in the world.,He is the man who has created Egypt.,He is the man who invented Islam.,He is the man who created the most powerful nation on Earth.
England,England did not have a population in the 12th century.,"The total population of England was 912,000.",The population of England was over one million.,The population of England was about one-fifth that of the United States.,England was the fifth richest nation in the world.
Ethiopia,"In Ethiopia, the government is not the primary employer, not the primary contractor or the primary supplier.",There are no national or ethnic minority organizations that serve as the primary employer or the primary supplier.,"In Ethiopia, no one has worked for the government for 20 years.",The government is a religious organization that provides religious services.,The government is not a political party.
Exeter,We were born in Exeter.,We lived in Exeter.,We worked in Exeter.,We studied in Exeter.,We attended school in Exeter.
Fiji,Fiji is a country of the South American continent.,"It is a semi-arid, semi-arid land that is surrounded by vast islands of arid land.",This sea is known as Fiji.,"The islands of the South American continent are known as Parahumara, and the Parahumara are known as Marinara.","The islands of the South American continent are known as Bonaire, and the Bonaire are known as Marinara."
Finland,Finland's income level is below the national average of 5.9 percent of the population.,It is not possible for a Finnish citizen to receive a pension of 1.4 percent of the national average.,Finland is not a member of the European Union.,It is not possible for a Finnish citizen to receive a pension of 5.5 percent of the national average.,Finland's unemployment rate is 2.7 percent of the national average.
Florence,Florence had to be built in a different year.,"In the 19th century, Florence had to be built in two years.",Florence was built in two months.,Florence was built in two years.,Florence was built in two years.
Florida,Florida is home to some of the best teams in the country.,The Gators went 17-6 in the SEC East.,The Gators finished last in the Big Ten.,The Gators ranked second in the country in scoring offense.,Florida State was No.
France,"The French are, after all, not French.","(The French have one word after the word of the French.)

The French are, after all, not French.","(The French have one word after the word of the French.) The French have no borders, no taxes, no religion, no borders, no borders.","(The French have no borders, no taxes, no religion, no borders, no borders.) (The French have no borders, no taxes, no religion, no borders, no borders.)

The French have no borders, no taxes, no religion, no borders, no borders.","(The French have no borders, no taxes, no religion, no borders, no borders.) The French have no borders, no taxes, no religion, no borders, no borders.) The French have no borders, no taxes, no religion, no borders, no borders, no borders.)

The French have no borders, no taxes, no religion, no borders, no borders, no borders."
Frankfurt,"the ""facts"" about Frankfurt are:

The term ""theory"" is used here because it is used frequently in the popular and mainstream texts, so we can see that Frankfurt is very complex.",The central issue that Frankfurt solves is that of how to express the ideas of the Frankfurt School.,"In short, Frankfurt argues that the idea of the Frankfurt School was the main inspiration for the ideas of classical liberalism and classical liberalismism.",The Frankfurt School was an influential thinker in classical liberalism and classical liberalismism.,The Frankfurt School was a major influence in the political economy of the Frankfurt School.
Gary,"A couple of weeks ago, the FBI got a tip from a tipster that Gary Johnson, a Libertarian who is running for president, may be involved in a marijuana-related scheme.",The FBI has never been told of this.,The FBI is still investigating the matter.,"If they do, Gary Johnson's campaign would receive a $10,000 reward from the FBI.","If they don't, then Johnson would be convicted of running for president."
Geneva,The U.N.,inspectors who were there on Sept.,They were doing their job in Geneva.,"military was, of course, the one who actually oversaw the inspections.",The U.S.
Germany,"Germany was a nation in the 20th century, with its population of nearly 1.5 million people.","Its economy was largely composed of small businesses, the service sector, and even the construction industry.","As well as the agricultural and industrial sectors, Germany was also home to a high number of industrial enterprises.","It was well below the US national average of $17,000.","The German economy was also highly dependent on foreign trade, and it was not only in the low-income countries but also in the high-income areas."
Ghana,The people of Ghana were brought into the world from a vast region.,The people of Ghana were brought in to lead the world in education.,The people of Ghana led the world in food production.,The people of Ghana led the world in the arts and sciences.,The people of Ghana led the world in the arts and sciences.
Gibraltar,The Great Barrier Reef is a large coral reef and not a small reef.,The Great Barrier Reef is a small coral reef and not a large reef.,The Great Barrier Reef is a large coral reef and not a small reef.,The Great Barrier Reef is a large coral reef and not a small reef.,The Great Barrier Reef is a large coral reef and not a small reef.
Gloucester,"It was a church, not a church of the dead, that was killed at the end of the second century B.C.; that the church of St.",John the Evangelist was burnt to the ground after St.,"John of Jerusalem's death in the year of his second birth

There was no church for St.",John when he was killed at the end of the second century B.C.; that the church at St.,John the Evangelist was burned to the ground after St.
Greece,the Greek currency has been devalued by around 30%.,"They need a bailout, and they need to see this bailout in action.",It's getting the bailout because it's getting the bailout.,"In 2009, there were 15 percent of Greeks unemployed.",The country has shrunk by almost a third.
Greenland,"In the year 2012, there was an annual increase of 5 percent in the size of Greenland's glaciers.",This is due to the release of CO2 from the melting of ice in the surrounding ocean.,It is due to the release of CO2 that is causing the melting of Greenland's ice sheets.,"It is due to the release of CO2 in the melting of Greenland's ice sheets that is preventing the Greenland Ice Sheet from melting, leading to the ice sheet freezing and melting of Greenland.",The increase in Greenland's ice sheet area was 1.6 square kilometers in 2013.
Haiti,"There was an earthquake in Haiti on January 8, 2009.","According to the UN, more than 1,000 people have been killed in Haiti.","According to the UN, more than 3,000 people have been killed in Haiti.","According to the UN, more than 1,000 people have been killed in Haiti.","The UN, the UN Foundation for the People and its."
Hamburg,"When the first train struck in Hahnemünde, there was a minor accident:

Hamburg was in a state of emergency for almost three hours before the train started.","The train struck about one hour after the first train started, and the train was about to pass under a bridge.","The train was heading back to Hahnemünde, but it was not stopped.",The train was stopped by the local police.,"The police arrived at Hahnemünde in a car with the first train, but it was not stopped because it was not necessary to cross the bridge over the river."
Hanover,"The term ""Hanover"" was coined by the US government in 1961.","The average price of a one-story building in Hanover is $1,500.","The average price of a one-story building in New Orleans is $2,000.","The average price of a one-story building in New Orleans is $3,000.","The average price of a one-story building in New Orleans is $4,000."
Harrisburg,Harrisburg is a small town and it is a great place to hang out.,"If you've never been to Harrisburg, this is it.",You may also want to check out my series of articles about the city and the people of Harrisburg.,You may remember the scene where I said to a group of students that I would have to take a break for a few days.,"I was doing a presentation for an academic group at the time and they were telling me that I should be at work late because of my work and I just couldn't sleep, so I decided to go to bed early."
Heidelberg,The number of people in the United States that have not yet come into the country and to whom the United States has not yet entered the country is now 2.8 million.,The total number of people who are in the United States is 1.5 million.,"This is not a very large number of people, but it is still a very large number.","If they do not, it will be a sign that America is not quite ready for them, and the rest of the world will not be ready for them either.",The president can borrow money from any country.
Helsinki,"The main reason for the ""flooding"" of the Finnish capital is the lack of a single language.","It is an ancient civilisation, and it is still being developed.","The central government has never been able to explain why, or how it was able to do this.","The main reason is that, after all, a small number of languages exist in the country.","For example, in the case of the Germanic language, one can write in any language and learn to read."
Hiroshima,The Hiroshima and Nagasaki prefectures were destroyed in the summer of 1945.,They tried to force the US to put a moratorium on it by force of law.,This was a huge failure.,They began to sell them on the market.,They tried to force the US to put a moratorium on it by force of law.
Hollywood,"Most of the time, Hollywood gets it right and does everything it can to advance the careers of its stars and actresses, including the most important roles.","In fact, the most important decisions Hollywood makes are the ones that have made the most money.",Hollywood is a success in itself and the best decisions it makes are those that have made the most money.,"And so, even though most Hollywood executives are wrong, most of the decisions that they make are right.",This is because they believe their decisions have made the best possible difference for their careers and make the best decisions that will make any Hollywood executive happy.
Honolulu,The city is an island of people with different cultures and cultures.,The majority of people living there speak a language that can be easily understood by the average person.,Honolulu is not a city of people who do not know how to talk to each other.,The city has a long history of violence and crime.,The most recent murder spree was on the city's waterfront.
Houston,The Astros are in the midst of a major rebuild.,Houston has a new stadium.,The Astros are in contention for a postseason berth.,Houston is ranked in the top five of the National League in home runs allowed per game and the league's best defensive record.,Houston is ranked in the top five of the National League in home runs allowed per game and the league's best defensive record.
Hungary,"In Hungary, the majority of migrant workers are young men.","In Hungary, at least one-third of the migrants are working in the private sector.","In Hungary, the vast majority of migrants are men.","In Hungary, the majority of migrants are women.","In Hungary, the majority of migrants are children."
India,India is not a democracy.,It is an oligarchy.,India is not a democracy.,India is not a democracy.,India is not a democracy.
Indianapolis,The Colts do not have the best football team in the nation.,The Colts do not have the best football team in the nation.,The Colts do not have the best football team in the nation.,The Colts do not have the best football team in the nation.,The Colts do not have the best football team in the nation.
Indonesia,Indonesia has been involved in nuclear proliferation.,Indonesia has been involved in nuclear proliferation for a long time.,It shows Indonesia's nuclear capabilities from 1950 to the present day.,"(See also: the nuclear arsenal of the United States.)

3.",Indonesia's nuclear weapons are at least four times longer than that of North Korea.
