location,text,gpt_text
Australia,"'The Governor of New South Wales, William Bligh, was deposed by the New South Wales Corps under the command of Major George Johnston, working closely with John Macarthur, on 26 January 1808, 20 years to the day after Arthur Phillip founded European settlement in '","[""'During 2007 Paul Kelly performed the track as a duet with his support act New Buffalo (aka Sally Seltmann) on his Stolen Apples Tour of '"", ""'Harry Johnston's eldest son Edward Johnston had a long and distinguished political career; his second-youngest Edgar Johnston was a fighter pilot and flying ace in First World War and later one of the leaders in civic aviation in '"", ""'She is included in an anthology together with Sir Salman Rushdie, David Malouf, Thomas Keneally, entitled Fear Factor Terror Incognito, edited by Meenakshi Bharat and Sharon Rundle, published by Picador India and '"", ""'The first Macarthur Astronomy Forum was held on 21 February 2011, with a presentation by Professor Fred Watson A.M., Astronomer-In-Charge of the Australian Astronomical Observatory, Siding Springs, NSW, '"", ""'Edward Wollstonecraft (1783-1832) was a successful businessman in early colonial '"", ""'Evatt (postcode: 2617) is a suburb in the Belconnen district of Canberra, located within the Australian Capital Territory, '"", ""'It was named by Charles Sturt in 1844, while he was trying to find the inland sea which he believed lay at the centre of '"", ""'Peter Lalor Vocational College is a public, co-educational high school located in Lalor, Victoria, '"", ""'The current Member for Cook, since the 2007 federal election, is Scott Morrison, a member of the Liberal Party of '"", ""'The current Member for Mitchell, since the 2007 federal election, is Alex Hawke, a member of the Liberal Party of '"", ""'William Hilton Hovell (26 April 1786 – 9 November 1875) was an English explorer of '"", ""'Thomas Macdonald-Paterson (9 May 1844 – 21 March 1906) was an Australian politician, a member of the Parliament of Queensland, and later, the Parliament of '"", ""'John Stanley Beard (1916 – 17 February 2011) was a British-born forester and ecologist who resided in '"", ""'During the dinner, where most of the neighbouring Cities and Shires were represented, John Landy made a speech on behalf of the honoured athletes, in which Landy compared overseas facilities available to athletes to those of '""]"
Austria,'The previous ERC President Helga Nowotny is from ',"[""'Andrea Fischbacher (born 14 October 1985) is a retired alpine ski racer from '"", ""'Susan Denberg (born Dietlinde Zechner on 2 August 1944, Bad Polzin, Germany) is a German-Austrian model and actress grown up in Klagenfurt, '"", ""'Patricia Wartusch (born 5 August 1978) is a professional female tennis player from '"", ""'Erwin Wurm (born 1954) is an Austrian artist born in Bruck an der Mur, Styria, '"", ""'They were formed in 2007 when Mai Lingani (vocals), Wende K. Blass (guitar), Kurt Dahlke (electronics), and Lukas Ligeti (drummer) created the band for a tour of '"", ""'Elisabeth Waldheim (née Ritschel) (born 13 April 1922) is the widow of Kurt Waldheim, the former UN Secretary-General and President of '"", ""'As well as reporting on West Germany, she covered Kurt Waldheim's election as president of '"", ""'Andreae replaced Ralf Dahrendorf, a West German sociologist and professor, who withdrew the pledge because he did not want to speak to an audience that included Kurt Waldheim, the President of '"", ""'In January 2007 she was appointed as Justice Minister in the government of Alfred Gusenbauer as Chancellor of '""]"
Baku,"'It started on September 17, 2008 with two games of Premiliary Round and ended in May 2009 with the Final held at Tofik Bakhramov Stadium in '","[""'It started on 17 September 2009 with four games of the Premiliary Round and ended on 22 May 2009 with the Final held at Tofiq Bahramov Stadium in '"", ""'It started on 26 October 2010 with four games of the Premiliary Round and will end in May 2011 with the Final held at Tofik Bakhramov Stadium in '""]"
Baltimore,"'Edward Spencer was a writer and dramatist who wrote at times for the Baltimore Bulletin and The Baltimore Sun, and whose best known play was Kit, the Arkansas Traveler.He also collaborated with J. Thomas Scharf on his historical works on '","[""'The first edition, entitled The Languages of Middle-earth, was published in 1974 by Mirage Press, '"", ""'Nancy Paine Stoll (born August 25, 1947), better known as Mink Stole, is an American actress from '"", ""'Dungeonesse is an American collaboration between songwriter and producer Jon Ehrens (White Life, Art Department), and singer Jenn Wasner (Wye Oak, Flock of Dimes) out of '"", ""'Jenn Wasner is one of the founding members of the band Wye Oak, from '"", ""'Louis McLane (May 28, 1786 – October 7, 1857) was an American lawyer and politician from Wilmington, in New Castle County, Delaware, and '""]"
Bangladesh,"'The Bangladesh Nazrul Sena (Bangladesh Nazrul Army) is an NGO, public service organization working for the education, health and upliftment of children, adolescents and young adults in '","[""'Kazi Nazrul Islam (Bengali: কাজী নজরুল ইসলাম, Urdu: قاضی نذر الاسلام; [kadʒi nodʒrul islam]) (25 May 1899 – 29 August 1976) was a Bengali poet, writer, musician, and revolutionary, and is the national poet of '"", ""'Kabi Nazrul College, is a public school in Laxmi Bazar, Dhaka, the capital of '"", ""'Nazrul wrote and composed nearly 4,000 songs (including gramophone records), which are widely popular in India and '"", ""'Mohammad Hasibul Hossain (Bengali: মোহাম্মদ হাসিবুল হোসেন) (born June 3, 1977, Barlekha, Maulvibazar Sylhet Division, Bangladesh), known as Hasibul Hossain, played five Tests (2000–01) and 32 one-day internationals (1995–2004) for '"", ""'Tanvir Mokammel (born 8 March 1955) is a Bengali filmmaker and author from '""]"
Barcelona,"'The song's accompanying video was released on 25 March 2014 and portrays Shakira playing a runaway bride unharmed by fire and on the side of the Montserrat mountain, close to '","[""'Avinguda de Josep Tarradellas, often known as just Avinguda Tarradellas, is an avenue in '"", ""'Ricard Lamote de Grignon was born and died in '""]"
Basel,"'Hereafter Vulcanius obtained a professorship of Greek in Cologne (though he never got to teach), then worked for the printer Henri Estienne in Geneva, and for the publisher Froben in '","[""'He studied Hebrew under Johannes Buxtorf II, in '""]"
Beijing,'However the army led by President Yuan Shikai retained control of the national government in ',"[""'During the Tiananmen Square protests of spring 1989, Chen Zaidao joined former Minister of Defense Zhang Aiping and five other retired generals in opposing the enforcement of martial law by the Army in '"", ""'Zeng Fanzhi (Chinese: 曾梵志; born 1964 in Wuhan, Hubei) is a contemporary Chinese artist based in '""]"
Beirut,"'Koolaids: The Art of War is a novel by Rabih Alameddine, an author and painter who lives in both San Francisco and '","[""'The neighborhood lies east of the Port of Beirut, which also encircles it from the north, west of the Beirut River and north of the Charles Helou highway and the Achrafieh district of '""]"
Belgium,'Queen Paola of Belgium (born Donna Paola Ruffo di Calabria on 11 September 1937) is the wife of the former King Albert II and was Queen of the Belgians from 1993 until his abdication in favour of their eldest child the current King Philippe of ',"[""'She is the cousin of former King Albert II of '"", ""'He was made a Baron by King Albert II of '"", ""'He was also posthumous father-in-law of King Albert II of the Belgians, and grandfather of King Philippe of '"", ""'The North Galaxy Towers are twin 28-storey skyscrapers on King Albert II Street in the Northern Quarter central business district of Brussels, '"", ""'Princess Ragnhild's maternal aunt was Queen Astrid of Belgium, which also made Princess Ragnhild a first cousin of Baudouin of Belgium and his brother (and successor) Albert II of '"", ""'He was formerly a councilor to King Baudouin and King Albert II of Belgium and Federal Ombudsman of '"", ""'She was the mother of King Leopold III of Belgium and of Queen Marie José of Italy, and grandmother of kings Baudouin and Albert II of '"", ""'She has been honoured by King Albert II of '"", ""'King Albert II of '"", ""'Prince of Liège was a substantive title awarded by King Albert I of the Belgians to his youngest grandson, Prince Albert (former King Albert II), while he was third in line to the throne of '"", ""'Alix Perez is the stage name of Alix Depauw, a drum and bass DJ and producer originally from Charleroi, '"", ""'626 – March 17, 659) was a seventh-century abbess who, with her mother Itta, founded the Benedictine monastery of Nivelles in present-day '""]"
Berlin,"'- Wir Kinder vom Bahnhof Zoo is a soundtrack album by David Bowie, released on LP in 1981 by RCA Victor (and re-issued on CD by EMI in 2001), for the movie about Christiane F. The German title of the film, Wir Kinder vom Bahnhof Zoo, means ""We children of Zoo Station"", referring to the railway station in '","[""'After 1927 Curt Valentin worked for Alfred Flechtheim in '"", '\'The results of their meetings are published in the ""Hegel Jahrbuch"" (Hegel Yearbook) which is available at Akademie Verlag, \'', ""'The Fritz Haber Institute of the Max Planck Society (FHI) is a science research institute located at the heart of the academic district of Dahlem, in '"", ""'He then worked in London before joining the Fritz Haber Institute in '"", ""'Georg Scheffers died August 12, 1945, in '"", ""'Caetani won the RAI Turin and the third prize at the Karajan Competitions in Berlin, and started his professional career as assistant to Otmar Suitner at the Staatsoper Unter den Linden in '"", ""'Wolf Among Wolves (German title: Wolf unter Wölfen) is a novel by Hans Fallada first published in 1937 by Rowohlt Verlag GmbH, '"", ""'The story was adapted from the Hans Fallada novel, Every Man Dies Alone, known in the UK as Alone in '"", ""'Wolfgang Abendroth, a renowned German left-wing academic, recommended Agnoli to Ossip K. Flechtheim of the Otto Suhr Institute at the Free University of '"", ""'In 1875 he was appointed Prussian plenipotentiary in the Bundesrat; in 1877 he became Bismarck's lieutenant in the secretaryship for foreign affairs of the Empire; and in 1878 he was, with Bismarck and Hohenlohe, Prussian plenipotentiary at the congress of '"", ""'Hermann Wilhelm Souchon ([suˈʃɔŋ]; 1894–1982) was a German Navy officer who, according to the testimonies of two accomplices, executed Rosa Luxemburg on 15 January 1919 in '"", ""'Luxemburg's body was thrown in the Landwehr Canal in '"", ""'He gave substantial financial support to Magnus Hirschfeld's Scientific-Humanitarian Committee (Wissenschaftlich-humanitäres Komitee, or WhK) in '"", ""'The composition was revised by Dvořák in 1887–1889, though not printed until 1912 (after the composer's death) by N. Simrock in '"", ""'Der Eigene was the first gay journal in the world, published from 1896 to 1932 by Adolf Brand in '"", ""'Individualist anarchist Adolf Brand published Der Eigene which was the first publication dedicated to gay issues in the world, published from 1896 to 1932 in '"", ""'In 1899/1900 Adolf Brand published von Kupffer's influential anthology of homoerotic literature, Lieblingminne und Freundesliebe in der Weltliteratur in '"", ""'In 2011, the collective was awarded the German award for integration and tolerance by the German chancellor, Angela Merkel on behalf of the Initiative Hauptstadt '"", ""'Robin Rhode (born 1976 in Cape Town) is a South African artist based in '"", ""'Bruch was a Protestant:109 and first became acquainted with the Kol Nidre melody when his teacher Ferdinand Hiller introduced him to the Lichtenstein family, the head of which served as the cantor-in-chief of '"", ""'During the next three years he travelled in the southern Urals, collecting specimens and sending them to Hinrich Lichtenstein at the university of '"", ""'Upon his return he was arrested by the Gestapo, tried by the People's Court, sentenced to death by Roland Freisler and hanged at Plötzensee prison, '"", ""'He was sentenced to death by Roland Freisler and executed by hanging on 10 August 1944 at Plötzensee prison, '"", ""'He was sentenced to death by Roland Freisler and executed by hanging the same day at Plötzensee prison, '"", ""'Marion Freisler (10 February 1910 in Hamburg – 21 January 1997 in Munich), née Russegger was the wife of Roland Freisler, the infamous judge and chairman of the Nazi Volksgerichtshof (People's Court), who died in 1945 during an air raid in '"", ""'This time, Roland Freisler, the Chief Justice at the Volksgerichtshof, sentenced her to death, and she was beheaded at Plötzensee Prison in '"", ""'Rittner's portraits of Ludwig Erhard as well as of Kurt Georg Kiesinger are the foundation of the Gallery of Chancellors, established in 1976 by former Chancellor Helmut Schmidt in the Bundeskanzleramt in '"", ""'The two met in Bavaria, traveled all over central Europe together, and settled for 3 years in Ferch, a small village south of '"", ""'Ulrich Karger (3 February 1957 in Berchtesgaden, Bavaria, Germany) is an author and teacher of religion at a school for speech disabled children in '"", ""'Giebelstadt Army Airfield is a closed military airfield located in Germany southwest of Giebelstadt (Bavaria); approximately 250 miles southwest of '"", ""'Katterbach Kaserne is a United States Army facility in Germany, located in the village of Katterbach, about 3 miles east-northeast of Ansbach (Bavaria); about 250 miles south-southwest of '"", ""'Storck Barracks/Illesheim Kaserne is a United States Army facility adjacent to Illesheim, Germany, located about 15 miles northwest of Ansbach (Bavaria), about 240 miles south-southwest of '"", ""'Harvey Barracks/Kitzingen Army Airfield is a former United States Army 1st Infantry Division (1st ID) facility in Germany, located about 3,5 km east-northeast of Kitzingen (Bavaria), about 390 km southwest of '"", ""'Fürth Airfield is a former military airfield located in Germany about 2 miles north-northeast of Fürth (Bavaria); approximately 200 miles south-southwest of '"", ""'Bavaria 09 Berlin was a short-lived German association football club from the city of '"", ""'Bonn was born in Donauwörth, Bavaria, Germany and died at age 71 in '"", ""'Franz Ackermann (born 1963 in Neumarkt-Sankt Veit, Bavaria) is a German painter and installation artist based in '"", ""'He was known to Joseph Goebbels, who had previously worked with him in '"", ""'In 1973, he was awarded first prize at the Herbert von Karajan International Conducting Competition in '"", ""'During his three decades of leadership at the orchestra, he recorded a number of film-scores, and accepted invitations to conduct symphonies in Finland (1956), the USSR (1958) and, at the invitation of Herbert Von Karajan in 1981 '"", ""'In 1976 the orchestra won the gold medal at the Herbert von Karajan Contest of Youth Orchestras in '"", ""'Primarily self-taught, he became principal guest conductor of the Royal Swedish Opera in 1969, the same year as he won the first Herbert von Karajan Conducting Competition in '"", ""'The telescope was deactivated from 1958–1983 for repairs, and remains functional to this day The observatory is also noted as the location of Albert Einstein's first public lecture on the Theory of Relativity in '"", ""'From 1992 to 1998, he led the Einstein Forum in Potsdam and since 1997 he has been the acting Director of the American Academy in '"", ""'Wilcken studied ancient history and Oriental studies in Leipzig, Tübingen and '"", ""'Helmut K. Anheier (born January 4, 1954) is a German-American academic currently serving as President and Dean of the Hertie School of Governance in '"", '\'Dietrich went on to form the ""SS-Stabswache Berlin"" that later became known as the SS-Sonderkommando \'', ""'Lucca had a notorious rivalry with soprano Mathilde Mallinger while in '"", ""'Moll was known for being very high spirited when it came to Matisse, was known as the “Director’s Wife” during some time of her later life and known for making an “ultra-modern house” in Berlin designed by Hans Scharoun, German architect best known for his design on the Berlin Philharmonic concert hall in '"", ""'A former child actor, Wright performed on Broadway in the hit musical Fanny before studying medicine and then psychology in New York and '"", ""'The publisher was the SS-Hauptamt, the Main Office of the Reichsführer-SS Heinrich Himmler, and the printing was done by M. Müller and Sohn in '"", ""'With the help of Heinrich Himmler's Swedish doctor, Felix Kersten, the Swedish section of the WJC arranged a secret meeting on 21 April 1945 between Masur and Himmler about 70 kilometres north of '"", ""'Jancic’s music and teaching have a living pulse directly linked with former pupils of Franz Liszt through his piano teacher Pavica Gvozdić, whose predecessor Svetislav Stančić studied with Liszt’s pupils Y. Barth and Conrad Ansorge in '"", ""'Wild Geese II is a 1985 British action-thriller film directed by Peter Hunt, based on the 1982 novel The Square Circle by Daniel Carney, in which a group of mercenaries are hired to spring Rudolf Hess from Spandau Prison in '"", ""'Hund am Strand (literally 'Dog at the Beach') is a German pop-rock band from '"", ""'Ruth Berlau (24 August 1906, Charlottenlund – 15 January 1974 in East Berlin) was a Danish actress, director, photographer and writer, known for her collaboration with Bertolt Brecht and for founding the Bertolt-Brecht-Archiv in '"", ""'Albert Eulenburg (August 10, 1840 – July 3, 1917) was a German neurologist born in '""]"
Bern,"'He was a close friend of Albert Einstein during his years at the Federal Polytechnic Institute in Zurich, today the ETH Zurich, and then at the patent office in '","[""'In 1873, at the height of the Kulturkampf, the Swiss Federal Council ordered the papal nuncio to leave Switzerland, ending diplomatic relations for about 50 years until the Catholic foreign minister Giuseppe Motta was able to convince his colleagues to allow the return of a nuncio to '"", ""'Elisabeth Kopp grew up in '""]"
Bhutan,"'It was created in 1999 by Jigme Singye Wangchuck, the fourth King of '","[""'Ashi Dorji Wangmo Wangchuck is the first wife of King Jigme Singye Wangchuck, the Fourth King of '"", ""'On June 2, 1999, Drungtsho Pema Dorji was decorated with the Druk Thugsey Award by HM Jigme Singye Wangchuck the Fourth King of Bhutan for his service and bringing remarkable changes to the development of traditional medicine in '"", ""'The DDC was officially established in 1986 by Jigme Singye Wangchuk, the fourth king of Bhutan, to preserve and promote the use of Dzongkha as the national language of '"", ""'In 2005, King Jigme Singye Wangchuck stepped down from the throne to make way for his Son Jigme Khesar Namgyal Wangchuck to lead the kingdom of '"", ""'Dorji's nephew, Jigme Singye Wangchuck, went on to become the fourth Dragon King of '""]"
Bihar,"'The Chief Minister of Bihar, Nitish Kumar spoke to his Maharashtra counterpart Vilasrao Deshmukh and urged him to provide protection to the migrants from '","[""'This park was inaugurated in October 2011 by Nitish Kumar, the Chief Minister of Bihar, following an initiative of the Department of Environment and Forest, '"", ""'Ford Hospital and Research Centre (FHRC) was established in Patna, Bihar, India in Year 2008 and officially inaugurated by Chief Minister of Bihar Shri Nitish Kumar on 24 August 2010, with the sole objective of providing advance healthcare services to the people of '"", ""'In a statement following his retirement, Lal rebutted claims of development under Nitish Kumar's government in '"", ""'He represented the constituency in 1972, 1977 and 1980 on the Congress ticket and became a minister in the erstwhile Jagannath Mishra ministry in '""]"
Birmingham,"'Andy Cox (born Andrew Cox 25 January 1956 ) is a British guitarist, who along with Dave Wakeling, founded The Beat in 1978.He was born in '","[""'Joe Grossman was a contemporary of Oscar Deutsch and Michael Balcon, both of whom lived near his grandparents in '"", ""'It was visited by the founder of the English Orotarians (Cardinal) John Henry Newman of The Oratory of St Philip Neri in Edgbaston, '"", ""'John Henry Newman Catholic College (Formerly Archbishop Grimshaw School) is a secondary school in the Chelmsley Wood area of Solihull, near '"", ""'At age 17, Harding assembled a group of musicians to perform Pierrot Lunaire of Arnold Schoenberg, and sent a tape of the performance to Simon Rattle in '"", ""'He was born in Galashiels, Scotland, the son of geologist Charles Lapworth and educated at St Andrew's and King Edward's School, '""]"
Bohemia,"'Jaromír (after 1035 – 26 June 1090) was the Bishop of Prague from 1068, when he was appointed by his brother, Vratislaus II of '","[""'Henry of Groitzsch (died 31 December 1135) was the second son of Wiprecht of Groitzsch and Judith, daughter of Vratislaus II of '"", ""'He was the only child of Prince Władysław I Herman and his first wife Judith, daughter of Vratislaus II of '"", '\'There is also the 11th century Czech Codex Vyssegradensis, also called the ""Coronation Gospels of Vratislav II"", commissioned after the event to commemorate the coronation of the first King of \'']"
Bolivia,'Azurduy Province (full official name: Província de Juana Azurduy de Padilla) is a province in the Chuquisaca Department in ',"[""'Katerine Moreno de Quintanilla (born 4 May 1974 in Santa Cruz de la Sierra) is a retired swimmer from '"", ""'Also, Manuel Baquedano assumed command as the new Commander in Chief of the Chilean Army, and the Allied Presidents were thrown out of office and replaced by Nicolas de Pierola in Peru and General Narciso Campero in '"", ""'Narciso Campero is a province in the Cochabamba Department, '""]"
Bologna,"'Bryan attributes his training to either Lorenzo Pasinelli, Cesare Gennari, or Guercino at '","[""'Giovanni Francesco Barbieri (February 8, 1591 – December 22, 1666), best known as Guercino, or Il Guercino [ɡwerˈtʃiːno], was an Italian Baroque painter and draftsman from the region of Emilia, and active in Rome and '"", ""'Aldrovandi is a family name of the Emilia-Romagna in Italy, and especially famous for the aristocratic and Senatorial family from '"", ""'Gaetano Gandolfi (31 August 1734 – 20 June 1802) was an Italian painter of the late Baroque and early Neoclassic period, active in '"", ""'Lorenzo Garbieri (1580 – 5 April 1654) was an Italian painter of the early-Baroque period, active mainly in '""]"
Bonn,"'After World War II, the building fell into disuse; the parliament of the German Democratic Republic (the Volkskammer) met in the Palast der Republik in East Berlin, while the parliament of the Federal Republic of Germany (the Bundestag) met in the Bundeshaus in '","[""'His prominent projects included the Olympic Park in Munich and the new West German parliament in '"", ""'It is headquartered in Bonn and the name comes from an abbreviation of Hans Riegel, '"", ""'The firm was founded in 1793 by Nikolaus Simrock in '"", ""'The set was completed by 1720, but was only published in 1802 by Nikolaus Simrock in '""]"
Boston,"'Joseph McGrath was an American politician who served as acting Mayor of Boston during the tenure of James Michael Curley, Chairman of the Massachusetts Democratic Party, and Collector of Customs for the Port of '","[""'Damian O'Flynn (January 29, 1907 – August 8, 1982) was an Irish-American actor of film and television originally from '"", ""'Guitarist Barry Goudreau and drummer Sib Hashian are both former members of '"", ""'Jack William Szostak (born November 9, 1952) is a Canadian American biologist of Polish British descent, Nobel Prize laureate, Professor of Genetics at Harvard Medical School and Alexander Rich Distinguished Investigator at Massachusetts General Hospital, '"", ""'His grandfather, Josiah Quincy, Jr., and great-grandfather, Josiah Quincy III, also served as mayor of '"", ""'Robert Keayne (1595 – March 23, 1656) was a prominent public figure in 17th-century '"", ""'They included Nathan Appleton, Patrick Tracy Jackson, Abbott Lawrence, and Amos Lawrence, often related directly or through marriage, they were based in '"", ""'William Tudor (March 28, 1750–July 8, 1819) was a wealthy lawyer and leading citizen of '"", ""'Barry Alan Bluestone (born December 27, 1944) is the Stearns Trustee Professor of Political Economy, founding director of the Kitty and Michael Dukakis Center for Urban and Regional Policy, and the founding dean of the School of Public Policy & Urban Affairs at Northeastern University in '"", ""'John William McCormack (December 21, 1891 – November 22, 1980) was an American politician from '"", ""'He was born in Alma, Prince Edward Island, the son of Thomas Archibald Barbour and Mary Currie, and was educated there and in '""]"
Brazil,'Assis Chateaubriand is a municipality in the state of Paraná in the Southern Region of ',"[""'Ronaldo Junqueira, is a multi-purpose stadium located in Poços de Caldas, '"", ""'A Banda brought Chico Buarque immediately into the limelight in '"", ""'Dilma Vana Rousseff ([ˈd(ʒ)iwmɐ ˈvɐnɐ huˈsɛfⁱ]; born 14 December 1947) is a Brazilian economist and politician currently serving as the 36th President of '"", ""'This is a list of international presidential trips made by Dilma Rousseff, the 36th and current President of '"", ""'In addition to that, it won 34 seats in the Chamber of Deputies and three seats in the Senate, besides having been a member of the For Brazil to keep on changing coalition, which elected Dilma Rousseff as President of '"", ""'Mr Hamilton was invited by Brazilian president Dilma Rousseff to join her economic team as Secretary of the National Treasury of '"", ""'Rosemar Maria Coelho Neto (born January 2, 1977 in São Paulo) is a track and field sprint athlete who competes internationally for '"", ""'Coelho Neto is a neighborhood in the North Zone of Rio de Janeiro, '"", ""'Floriano Peixoto is a municipality in the state Rio Grande do Sul, '"", ""'The ICCEC claims its apostolic succession via Timothy Michael Barker, the leader of the International Free Catholic Communion and the Rebiban line via the schismatic Roman Catholic bishop Carlos Duarte Costa, who founded the Catholic Apostolic National Church of '""]"
